Model;Name;Price
B760MGAMINGDDR41.1;Mainboard|GIGABYTE|Intel B760 Express|LGA1700|Micro-ATX|Memory DDR4|Memory slots 2|1xPCI-Express 3.0 1x|1xPCI-Express 4.0 16x|2xM.2|1x15pin D-sub|1xHDMI|1xDisplayPort|2xAudio-In|1xAudio-Out|2xUSB 2.0|3xUSB 3.2|1xUSB-C|1xPS/2|1xRJ45|B760MGAMINGDDR41.1;100.19€
PRO B650M-B;MSI | PRO B650M-B | Processor family AMD | Processor socket AM5 | DDR5 | Supported hard disk drive interfaces M.2, SATA | Number of SATA connectors 4;100.59€
B760MDS3HDDR4;Mainboard|GIGABYTE|Intel B760 Express|LGA1700|Micro-ATX|Memory DDR4|Memory slots 4|2xPCI-Express 3.0 1x|1xPCI-Express 4.0 16x|2xM.2|1x15pin D-sub|1xHDMI|2xDisplayPort|2xUSB 2.0|3xUSB 3.2|1xUSB-C|1xPS/2|1xRJ45|3xAudio port|B760MDS3HDDR4;101.19€
A620M DS3H;Gigabyte A620M DS3H | Processor family AMD | Processor socket AM5 | DDR5 | Supported hard disk drive interfaces M.2, SATA | Number of SATA connectors 4;101.89€
Z690MX2-E D4;Biostar Z690MX2-E D4 pagrindinė plokštė Intel Z690 LGA 1700 „micro ATX“;102.29€
J4125NHU;Biostar J4125NHU pagrindinė plokštė „mini ITXs“;103.59€
B550MAORUSELITEAX1.3;Mainboard|GIGABYTE|AMD B550|SAM4|Micro-ATX|Memory DDR4|Memory slots 4|1xPCI-Express 3.0 1x|1xPCI-Express 3.0 4x|1xPCI-Express 4.0 16x|2xM.2|1xDVI-D|1xHDMI|4xUSB 2.0|4xUSB 3.2|1xPS/2|1xRJ45|3xAudio port|B550MAORUSELITEAX1.3;104.19€
B760MX2-E D4;Biostar B760MX2-E D4 pagrindinė plokštė Intel B760 LGA 1700 „micro ATX“;104.39€
B650M S2H;Gigabyte | B650M S2H 1.0 M/B | Processor family AMD | Processor socket AM5 | DDR5 DIMM | Memory slots 2 | Supported hard disk drive interfaces SATA | Number of SATA connectors 4 | Chipset AMD B650 | Micro ATX;104.69€
B650M-H/M.2+;ASRock | B650M-H/M.2+ | Processor family AMD | Processor socket AM5 | DDR5 | Supported hard disk drive interfaces SATA, M.2 | Number of SATA connectors 4;105.59€
